,Company,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Price_euros
0,0,13.3,0.0,52.0,8,4.0,43.0,0,1339.69
1,0,13.3,1.0,19.0,8,2.0,38.0,0,898.94
2,1,15.6,2.0,94.0,8,15.0,40.0,1,575.0
3,0,15.4,3.0,49.0,16,27.0,6.0,0,2537.45
4,0,13.3,0.0,34.0,8,15.0,44.0,0,1803.6
5,2,15.6,4.0,7.0,4,24.0,13.0,2,400.0
6,0,15.4,3.0,75.0,16,14.0,45.0,3,2139.97
7,0,13.3,1.0,19.0,8,14.0,38.0,0,1158.7
8,3,14.0,2.0,17.0,16,27.0,69.0,2,1495.0
9,2,14.0,5.0,26.0,8,15.0,46.0,2,770.0
10,1,15.6,4.0,94.0,4,24.0,40.0,1,393.9
11,1,15.6,2.0,6.0,4,24.0,35.0,1,344.99
12,0,15.4,3.0,13.0,16,15.0,7.0,0,2439.97
13,4,15.6,2.0,6.0,4,15.0,18.0,2,498.9
14,0,12.0,17.0,36.0,8,15.0,39.0,0,1262.4
15,0,13.3,0.0,52.0,8,15.0,43.0,0,1518.55
16,4,15.6,2.0,65.0,8,15.0,18.0,2,745.0
17,0,15.4,3.0,100.0,16,27.0,8.0,0,2858.0
18,5,15.6,2.0,90.0,8,10.0,52.0,1,499.0
19,4,13.3,6.0,26.0,8,4.0,46.0,2,979.0
20,3,11.6,4.0,11.0,2,21.0,29.0,2,191.9
21,5,15.6,5.0,8.0,8,,54.0,2,999.0
22,1,15.6,4.0,44.0,4,24.0,9.0,1,258.0
23,4,13.3,7.0,26.0,8,15.0,46.0,2,819.0
24,1,15.6,2.0,17.0,8,15.0,40.0,2,659.0
25,4,15.6,4.0,6.0,4,10.0,35.0,2,418.64
26,0,13.3,1.0,14.0,8,2.0,38.0,3,1099.0
27,4,15.6,2.0,26.0,8,15.0,5.0,2,800.0
28,4,15.6,2.0,77.0,8,,46.0,2,1298.0
29,1,17.3,2.0,26.0,8,10.0,51.0,2,896.0
30,6,15.6,2.0,32.0,4,32.0,28.0,2,244.99
31,3,14.0,4.0,53.0,2,21.0,9.0,2,199.0
32,1,17.3,2.0,74.0,4,24.0,5.0,2,439.0
33,4,13.3,8.0,17.0,16,27.0,46.0,2,1869.0
34,0,13.3,1.0,14.0,8,14.0,38.0,3,998.0
35,5,14.0,4.0,66.0,4,32.0,31.0,2,249.0
36,2,15.6,4.0,22.0,4,10.0,40.0,4,367.0
37,4,17.3,5.0,26.0,8,,5.0,2,979.0
38,1,15.6,4.0,94.0,4,10.0,40.0,2,488.69
39,1,15.6,2.0,26.0,8,15.0,,2,879.0
40,3,15.6,2.0,6.0,4,10.0,40.0,4,389.0
41,4,15.6,5.0,43.0,16,,57.0,2,1499.0
42,3,15.6,4.0,94.0,8,10.0,52.0,4,522.99
43,2,15.6,5.0,26.0,4,15.0,46.0,2,682.0
44,4,17.3,7.0,26.0,12,10.0,47.0,2,999.0
45,0,13.3,0.0,,8,15.0,41.0,0,1419.0
46,5,15.6,4.0,6.0,4,4.0,35.0,1,369.0
47,3,17.3,2.0,56.0,8,,26.0,2,1299.0
48,4,15.6,2.0,94.0,4,15.0,18.0,2,639.0
49,3,17.3,4.0,88.0,4,10.0,49.0,2,466.0
50,5,10.1,9.0,2.0,4,32.0,29.0,5,319.0
51,2,15.6,5.0,17.0,8,15.0,69.0,2,841.0
52,1,15.6,2.0,74.0,4,15.0,12.0,2,398.49
53,1,13.3,2.0,17.0,8,27.0,46.0,2,1103.0
54,2,15.6,4.0,90.0,4,10.0,40.0,2,384.0
55,4,15.6,2.0,17.0,8,15.0,4.0,2,767.8
56,1,15.6,2.0,6.0,4,4.0,35.0,2,439.0
57,3,15.6,4.0,94.0,4,15.0,40.0,2,586.19
58,7,17.3,2.0,43.0,16,,58.0,2,2449.0
59,3,15.6,2.0,6.0,4,15.0,35.0,4,415.0
60,4,17.3,2.0,17.0,16,,5.0,2,1299.0
61,4,14.0,2.0,26.0,8,15.0,46.0,2,879.0
62,5,14.0,5.0,22.0,8,15.0,40.0,1,599.0
63,3,14.0,2.0,26.0,8,15.0,46.0,2,941.0
64,1,15.6,2.0,94.0,8,15.0,40.0,2,690.0
65,3,15.6,2.0,43.0,16,27.0,55.0,2,1983.0
66,1,15.6,4.0,6.0,4,24.0,4.0,2,438.69
67,1,14.0,4.0,68.0,4,23.0,29.0,2,229.0
68,5,15.6,2.0,94.0,4,10.0,40.0,2,549.0
69,3,17.3,2.0,43.0,12,10.0,55.0,4,949.0
70,8,13.5,10.0,94.0,4,4.0,40.0,6,1089.0
71,4,13.3,5.0,17.0,8,15.0,5.0,2,955.0
72,4,15.6,2.0,17.0,8,15.0,5.0,2,870.0
73,7,17.3,2.0,8.0,8,,54.0,2,1095.0
74,2,14.0,4.0,6.0,8,10.0,35.0,2,389.0
75,3,15.6,2.0,43.0,8,10.0,54.0,2,949.0
76,5,15.6,2.0,94.0,8,20.0,40.0,1,519.0
77,4,15.6,2.0,17.0,8,,46.0,2,855.0
78,2,15.6,2.0,22.0,4,10.0,68.0,2,530.0
79,1,17.3,2.0,26.0,8,,51.0,2,977.0
80,4,15.6,5.0,26.0,8,15.0,46.0,2,1096.16
81,0,12.0,17.0,67.0,8,27.0,39.0,0,1510.0
82,1,14.0,2.0,26.0,8,15.0,40.0,2,860.0
83,5,15.6,2.0,74.0,4,4.0,,2,399.0
84,2,15.6,4.0,7.0,4,10.0,13.0,2,395.0
85,4,15.6,5.0,43.0,16,,55.0,2,1349.0
86,1,15.6,5.0,17.0,8,15.0,61.0,2,699.0
87,1,15.6,2.0,94.0,8,15.0,40.0,2,598.99
88,3,15.6,5.0,43.0,16,,57.0,2,1449.0
89,4,13.3,5.0,17.0,8,15.0,46.0,2,1649.0
90,3,15.6,2.0,78.0,8,10.0,25.0,2,699.0
91,2,15.6,2.0,17.0,8,10.0,69.0,2,689.0
92,1,13.3,2.0,17.0,16,27.0,46.0,2,1197.0
93,4,15.6,2.0,8.0,8,15.0,57.0,2,1195.0
94,3,14.0,2.0,65.0,8,15.0,40.0,2,1049.0
95,2,13.3,6.0,26.0,8,15.0,46.0,2,847.0
96,4,15.6,2.0,65.0,8,10.0,18.0,4,599.9
97,4,15.6,2.0,6.0,4,15.0,18.0,4,485.0
98,3,15.6,2.0,90.0,6,15.0,48.0,2,577.0
99,1,15.6,5.0,43.0,12,,54.0,2,1249.0
100,1,15.6,2.0,65.0,8,15.0,5.0,2,719.0
101,1,15.6,2.0,44.0,4,24.0,9.0,2,349.0
102,4,15.6,2.0,26.0,8,10.0,4.0,4,647.0
103,1,13.3,5.0,65.0,8,15.0,69.0,2,1119.0
104,8,13.5,10.0,94.0,8,15.0,40.0,6,1340.0
105,1,14.0,5.0,94.0,6,15.0,52.0,2,659.0
106,5,15.6,2.0,6.0,4,10.0,35.0,2,414.9
107,3,14.0,5.0,65.0,8,15.0,52.0,2,1193.0
108,7,15.6,2.0,43.0,16,,55.0,2,1299.0
109,5,14.0,5.0,65.0,8,15.0,40.0,2,1480.0
110,3,15.6,2.0,17.0,16,,69.0,2,1262.0
111,4,13.3,11.0,18.0,8,15.0,43.0,2,1379.0
112,5,13.3,6.0,94.0,8,15.0,40.0,2,1399.0
113,1,14.0,20.0,26.0,4,24.0,46.0,2,722.0
114,4,13.3,5.0,26.0,8,15.0,46.0,2,1629.0
115,1,13.3,6.0,26.0,8,15.0,46.0,2,1398.99
116,1,14.0,2.0,17.0,8,27.0,46.0,2,1084.0
117,4,15.6,5.0,17.0,8,,52.0,2,1130.33
118,3,17.3,2.0,6.0,4,10.0,49.0,2,564.0
119,3,15.6,2.0,17.0,8,15.0,52.0,2,1118.0
120,2,15.6,6.0,90.0,6,10.0,40.0,2,479.0
121,7,15.6,2.0,43.0,16,,58.0,2,2241.5
122,5,15.6,2.0,94.0,8,15.0,52.0,1,629.0
123,1,17.3,2.0,17.0,16,27.0,,2,1271.0
124,2,15.6,4.0,7.0,4,15.0,13.0,2,451.0
125,1,15.6,4.0,68.0,4,24.0,29.0,1,259.0
126,1,14.0,2.0,26.0,8,10.0,46.0,2,812.0
127,3,14.0,4.0,24.0,4,34.0,9.0,6,277.99
128,4,17.3,2.0,17.0,16,,5.0,2,1396.0
129,1,17.3,2.0,26.0,8,15.0,46.0,2,928.0
130,4,15.6,4.0,94.0,8,10.0,22.0,2,638.99
131,4,15.6,2.0,6.0,4,10.0,18.0,2,449.0
